Q,Q0,dL,dH-dL,a,b,dmin,dmax-dmin,Objective
0.225234,0.419296,0.907738,0.663986,0.906895,2.09022,0.45978,0.336456,0.498111
0.705518,0.813807,-0.0476989,0.599513,2.32422,3.40251,0.349081,0.97481,0.642155
0.500092,0.550908,0.585998,0.0551769,1.39714,1.13929,0.84763,0.580215,0.613372
0.240218,0.747907,0.558152,0.662053,2.15128,1.05518,-0.0436867,0.564935,0.411531
0.773536,0.44293,-0.125982,0.647713,2.23166,2.90051,0.687559,0.821812,0.809726
0.407714,0.56766,0.635483,0.901926,1.1186,2.85,-0.0949108,0.157877,1.15547
0.317944,0.385384,0.185697,0.209496,3.02325,2.01528,0.383552,0.179109,1.25894
0.654402,0.963767,0.0390168,0.637998,3.79067,3.19541,0.0604507,0.898455,0.533026
0.744551,0.421282,0.240214,0.524022,3.38151,0.815029,0.785884,0.264919,1.27145
0.768072,0.618809,-0.0964064,0.690124,3.65042,3.10569,0.94526,0.396676,1.26746
0.236413,0.343791,-0.0472386,0.725785,1.51104,1.07033,0.0325441,0.735748,0.363156
0.458884,0.888002,0.344689,0.956439,2.09905,3.50928,0.515338,0.268287,0.540245
0.231719,0.441176,0.668693,0.249382,2.85665,2.88863,0.481671,0.661308,0.0636605
0.266007,0.916656,0.879114,0.820344,1.95205,0.97104,0.846998,0.509285,0.170725
0.44152,0.585443,0.238884,0.275074,2.13381,1.19655,0.142532,0.687692,0.339947
0.272355,0.842139,0.42039,0.556201,2.77642,2.2178,0.403396,0.673979,0.0876306
0.936172,0.519243,-0.176514,0.880592,3.1691,0.888023,0.867264,0.768186,0.78064
0.925462,0.316849,-0.0270554,0.458927,2.53956,1.35921,-0.140746,0.322711,0.674867
0.589743,0.266234,0.569642,0.0221299,0.895788,2.94688,-0.0901428,0.569531,0.306637
0.604392,0.620552,0.589091,0.551611,3.37181,3.0319,-0.0133922,0.255124,0.431332
0.909775,0.428018,0.900221,0.341688,2.66734,2.19801,0.388206,0.505724,0.612371
0.857537,0.457884,0.63646,0.14574,3.36571,2.91988,0.849198,0.339907,0.73694
0.485649,0.839789,0.178742,0.700353,1.69384,2.19663,0.0724888,0.368054,0.242263
0.504186,0.265596,-0.110704,0.349744,3.86032,2.07235,0.494136,0.673054,1.08779
0.484154,0.474741,0.431808,0.0478315,2.85504,2.58136,-0.0832225,0.262494,0.465415
0.510994,0.90843,0.709254,0.673082,1.60367,3.49114,0.150515,0.730354,0.300259
0.441622,0.733818,0.581714,0.955022,1.58726,1.09569,-0.0676489,0.935847,0.183449
0.834544,0.590283,0.696636,0.666348,2.64918,1.38307,0.921702,0.589508,0.720819
0.650584,0.378677,0.0860135,0.749605,1.16033,3.13075,0.771741,0.447485,1.0317
0.394904,0.970687,0.126452,0.412786,2.23381,2.42923,0.147872,0.404132,0.16843
0.639618,0.739212,0.546534,0.453221,2.24639,0.81832,0.159724,0.156873,0.379895
0.497777,0.252003,0.731395,0.271514,1.5094,3.59166,-0.100367,0.90532,0.272594
0.797839,0.230781,0.566123,0.112832,3.54792,3.19477,0.389325,0.0406014,0.395714
0.89598,0.758282,0.387232,0.434319,2.51606,0.991337,0.873268,0.932775,0.730572
0.858626,0.62805,-0.0316277,0.571186,2.14233,1.81636,0.954285,0.232568,1.28236
0.975075,0.433061,0.535064,0.292674,2.03507,0.977096,0.511787,0.821209,0.703003
0.34141,0.378121,0.00456549,0.205603,3.1711,2.6653,0.114251,0.177968,0.754061
0.658608,0.522029,0.20345,0.190317,3.32779,1.49133,0.40619,0.261728,0.880665
0.646452,0.367434,0.423382,0.674476,3.87463,0.869658,0.870501,0.743043,0.905087
0.320318,0.340239,0.592517,0.0623442,2.32005,2.64689,0.791768,0.423798,0.567625
0.310339,0.978596,0.832896,0.288408,2.10982,2.30766,0.272494,0.395273,0.643747
0.531222,0.266651,0.696545,0.183292,3.84404,1.84982,-0.0685829,0.69078,0.303001
0.569418,0.882418,0.90935,0.589124,2.85073,2.99275,0.596826,0.281165,0.305615
0.659417,0.59781,0.0217236,0.0668939,3.93171,1.68224,0.553519,0.229551,1.62168
0.947261,0.49473,0.858072,0.672174,3.1592,1.85285,0.887872,0.442446,0.700878
0.22456,0.303243,0.483067,0.448804,1.26939,1.99423,0.506292,0.370567,0.231404
0.259619,0.697068,0.226282,0.0219245,2.77489,3.63078,0.919006,0.522993,1.02018
0.403228,0.673068,0.79148,0.246196,2.30819,3.78937,0.751477,0.444474,0.230708
0.400787,0.63614,0.0644897,0.112055,1.63897,3.64892,0.665441,0.966383,0.523239
0.322049,0.493286,0.427897,0.438476,3.5673,2.82034,0.254123,0.264925,0.172561
0.310656,0.918623,0.188741,0.65345,3.00906,0.882382,0.032775,0.993421,0.124198
0.496319,0.590633,0.146497,0.211318,0.907028,3.6209,0.669567,0.491829,0.812222
0.671801,0.982102,0.539393,0.756735,2.08771,3.42739,0.287159,0.902048,0.444189
0.579911,0.966706,-0.106018,0.748153,3.88065,1.38074,0.505624,0.795773,0.848439
0.223877,0.219788,-0.0619976,0.0560025,1.64901,2.00881,0.029856,0.556236,0.373719
0.520926,0.939312,0.499454,0.379558,3.28525,3.91371,-0.145216,0.749709,0.292141
0.525824,0.893957,0.294687,0.562585,3.07876,3.32421,0.267341,0.128053,0.33345
0.577837,0.962647,0.989588,0.732407,3.97681,3.12796,-0.0914279,0.219788,0.904285
0.308242,0.366375,-0.0159977,0.740912,1.35696,2.18108,0.896586,0.676117,1.20062
0.213004,0.81013,0.564511,0.158443,2.02869,0.862588,0.33141,0.0753141,0.955263
0.963319,0.411524,0.341465,0.244323,2.02665,2.46225,-0.193899,0.389275,0.648131
0.808388,0.836661,0.795983,0.360357,2.13632,3.622,0.87015,0.143927,0.688561
0.564371,0.411585,0.0324408,0.618446,2.99602,3.38855,-0.0516404,0.673631,0.460509
0.244825,0.98372,0.310992,0.722907,2.05338,3.88537,0.850678,0.587027,0.301796
0.772547,0.591023,0.029272,0.196289,3.20596,3.9408,0.0134533,0.597543,0.609176
0.510236,0.868445,0.0654396,0.93721,3.88992,2.71395,0.202754,0.179461,0.785583
0.553798,0.965825,0.08117,0.931347,3.38419,3.13449,0.816461,0.413312,1.34786
0.323828,0.573094,0.837938,0.305057,1.66591,3.66537,-0.156673,0.768455,0.517139
0.54365,0.921613,0.373971,0.363294,3.90415,3.05071,-0.184722,0.486648,0.305866
0.903456,0.60223,-0.186277,0.765448,2.63807,3.00717,0.206835,0.496557,0.734485
0.83123,0.493151,-0.10742,0.560122,1.28341,3.65436,-0.125149,0.18469,0.608938
0.780429,0.41866,0.96792,0.0133659,2.03097,3.82917,-0.0160432,0.0999911,0.844745
0.919093,0.723362,0.294315,0.142413,3.17194,3.31095,0.545786,0.442975,0.71663
0.471475,0.378001,-0.121211,0.812635,3.27594,0.801455,0.83362,0.715968,1.64826
0.694615,0.823144,-0.11293,0.09906,2.42748,1.46106,0.12738,0.172844,0.996942
0.511218,0.273023,-0.128009,0.740627,2.99984,2.18867,-0.156484,0.44512,0.499855
0.569545,0.25582,0.8086,0.0983734,2.07034,3.41094,0.417878,0.65675,0.338287
0.264832,0.423162,0.449267,0.325178,1.52005,3.72061,0.0611057,0.776344,0.213806
0.915334,0.243326,0.856166,0.690375,2.42046,2.44614,0.486,0.734429,0.651063
0.420084,0.207206,0.849935,0.126392,2.91454,2.95228,0.242351,0.945981,0.217476
0.594717,0.370611,-0.0586471,0.783101,3.07537,3.52262,0.81564,0.997307,0.877316
0.557298,0.659921,0.603086,0.737378,1.31661,2.5833,0.710614,0.667838,0.454577
0.259914,0.697756,0.607544,0.814237,1.51764,2.46491,-0.000779007,0.275891,0.813213
0.774209,0.323197,-0.188019,0.524578,1.80468,3.84264,-0.0384123,0.55681,0.649671
